source,content,classification
Facebook posts,A video shows children disappearing from inside a school bus.,incredible
Instagram posts,New York City is spraying unsafe pesticides to combat West Nile virus.,incredible
Instagram posts,A Sept. 20 video shows President Joe Biden’s body double.,incredible
Facebook posts,"""En ciertos estados el gobierno de Estados Unidos comprará los paneles por ti y te los dará sin ningún costo en caso de que te pases a energía solar en las próximas semanas"".",incredible
TikTok posts,Arizona Senate “indicted” Gov. Katie Hobbs.,incredible
Facebook posts,"“Pentagon releases NASA footage of 2,000 mile long UFO near Saturn.”",incredible
Facebook posts,"""Se declara emergencia máxima"" por congelamiento en Estados Unidos.",incredible
Facebook posts,“Three minutes ago Trump cries after losing everything after new evidence exposed.”,incredible
Instagram posts,President Joe Biden and his son snorted cocaine in the White House.,incredible
Facebook posts,Video shows “everyone will be wiped out in 21 days.”,incredible
Gavin Newsom,“We are more energy independent today” under President Joe Biden.,credible
Vivek Ramaswamy,"Being transgender is a ""mental health disorder.""",incredible
Instagram posts,"World Economic Forum “elites” are pushing the Great Reset, which aims to control people by taking all their possessions.",incredible
Viral image,“Klaus Schwab admits agenda 2030 is failing as millions rise up against new world order.”,incredible
Facebook posts,"“Si ganas menos de $50,000 al año” puedes calificar para un crédito de salud y usarlo para “lo que sea”.",incredible
Viral image,A 1970s public service announcement offers tips for avoiding the coronavirus.,incredible
Instagram posts,“Donald Trump exposes why 9/11 was an inside job.”,incredible
Facebook posts,"At a United Nations summit, President Joe Biden and U.N. Secretary-General António Guterres warned of a planned disaster.",incredible
Mike Oliverio,"“A few years back,” Mitchell Stadium in Bluefield, W.Va., “was voted the best high school football field in America.”",credible
Nikki Haley,“Ron DeSantis is against fracking. He is against drilling.”,credible
Facebook posts,“Bill Gates está liberando miles y miles de mosquitos modificados genéticamente para que le piquen a las personas…y que pueden ser perfectamente una arma biológica”.,incredible
Instagram posts,"""Trump just bought a handgun!”",incredible
Facebook posts,Video shows all highways closed in Berlin “right now.”,incredible
Instagram posts,"“They brought in 25,000 (National Guard members) because Biden couldn't get enough people to his inauguration.”",incredible
Viral image,A greeting message for Ukraine President Volodymyr Zelenskyy said “Glory to Urine.”,incredible
Facebook posts,"A video proves U.S. Attorney General Merrick Garland faces “a lying charge” after giving a fake number to Sen. John Kennedy, R-La., at a hearing.",incredible
TikTok posts,"“Joe Biden grants voting rights to 500,000 invaders.”",incredible
Facebook posts,"Under Project Hamilton, “every dollar you hold in your bank account, your wallet and even your retirement” will be confiscated and “replaced with a dangerous new totally digital dollar.”",incredible
Jim Justice,"“Under Jim Justice,” West Virginia had “the lowest unemployment rate in state history.”",credible
Instagram posts,"U.S. aid to Ukraine will continue during a government shutdown, but programs for food stamps, transportation, education, justice, environmental protection and homelessness will not.",credible
Facebook posts,Image shows Sen. Rand Paul in a bathrobe on the steps of the U.S. Capitol.,incredible
Facebook posts,"Una receta casera ""restaura la visión en 7 días, el glaucoma y las cataratas quedan en el pasado"".",incredible
TikTok posts,"“El estado de California podría quitarte a tus hijos si no aceptas cambiarles el sexo"".",incredible
Randi Weingarten,"""Texas teacher fired for reading Diary of Anne Frank to class.”",credible
Facebook posts,Giant human skeletons as large as 36 feet have been “unearthed and documented” in historical records.,incredible
Joe Biden,"Since Joe Biden “has taken office, unemployment in our (Latino) community has been cut in half.""",credible
Facebook posts,"Supervisores del TSA de Estados Unidos tuvieron una junta y ""para mediados de octubre van a decir que cualquiera persona que vaya a volar, va a tener que usar el tapabocas otra vez"".",incredible
Unleash Prosperity Now,“Gov. Roy Cooper is blocking a pioneering school choice bill that would give thousands of low-income parents the funds to allow their kids to get a high-quality education.”,incredible
Facebook posts,"""Poland declares war on Russia.”",incredible
Facebook posts,Video shows a Federal Emergency Management Agency “concentration camp” in Hawaii.,incredible
Facebook posts,"Video shows Elon Musk promising $45,000 in Canadian currency for participating Canadian citizens.",incredible
Facebook posts,"Princess Diana, actor Heath Ledger and musician John Lennon were “killed for exposing the truth.”",incredible
Instagram posts,An emergency broadcast system test will “send a specific high-frequency signal … with the intention of activating graphene oxide” in people.,incredible
Facebook posts,Photo shows Hillary Clinton on a “lethal injection medical table.”,incredible
Facebook posts,"“Bill Gates financió la investigación sobre garrapatas de ganado modificadas genéticamente"" y ahora 450,000 estadounidenses ""tienen alergias a la carne por el síndrome alfa-gal, causado por picaduras de garrapatas”.",incredible
Instagram posts,Video shows New York City police “arrest two young people for sleeping on concrete blocks.”,incredible
Facebook posts,“Janet Yellen arrested for treason.”,incredible
Bernie Sanders,“CEOs are now making 400 times more than their average worker.”,credible
Instagram posts,Video shows Republican Missouri state senators using flamethrowers to burn books.,incredible
Instagram posts,“People who took the jab are technically ‘non human species.’”,incredible
Facebook posts,U.S. Rep. Nancy Pelosi was arrested.,incredible
Instagram posts,"“World leaders & elite businessmen are ingesting the blood of young children in order to achieve ‘eternal youth,’ a CBS report warns.”",incredible
TikTok posts,“Navy SEALs Save Missing Maui Children” who were padlocked in cages.,incredible
Facebook posts,Video shows an April 2023 clown attack in Paris.,incredible
Instagram posts,The World Economic Forum is calling “for COVID concentration camps.”,incredible
Social Media,Video proves Sen. John Fetterman has a body double.,incredible
Joe Biden,Video shows Donald Trump believes “there has to be some form of punishment” for women who have abortions.,incredible
Facebook posts,“Walmart must pay $500 to customers who made purchases in the last 180 days.”,incredible
Viral image,Former President Donald Trump called Michelle Obama “Mike” in this tweet.,incredible
Instagram posts,Videos show confrontation over LGBTQ+ representation.,incredible
Joe Biden,“I taught at the University of Pennsylvania for four years.”,credible
Instagram posts,"“California Democrats have proposed Bill 553, which makes it ILLEGAL to confront or fight back against looters, burglars and shoplifters.”",incredible
Facebook posts,“Walmart must pay $500 to U.S. families who made purchases in 2022.”,incredible
Donald Trump,"The price of ""bacon is up five times"" under President Joe Biden.",incredible
Facebook posts,“Obama finally reveals how personal chef drowned in mysterious pond accident.”,incredible
Instagram posts,"In Westport, Connecticut, drones are “scanning (people) for COVID-19 symptoms.”",incredible
Kevin McCarthy,“We know the bank records show that nearly $20 million in payments were directed to the Biden family members and associates through various shell companies.”,credible
Benny Johnson,“Donald Trump spent 9/11 marching into a war zone of fire and ashes with an army of his own men to save Americans.”,incredible
Instagram posts,Oprah Winfrey “managed to hire a private firefighting team” to protect her Maui properties before the August wildfires occurred.,incredible
Facebook posts,A World Economic Forum video reveals conspiracy behind COVID-19 spread.,incredible
Donald Trump,“I really don’t know who gave (Dr. Anthony Fauci) the commendation.”,incredible
Facebook posts,“Hillary Clinton in trouble as her dark web video leaked.”,incredible
Instagram posts,President Joe Biden’s comments confirm that the government is going to “increase the number and intensity of extreme weather events.”,incredible
Facebook posts,Estas son imágenes del “sismo de gran magnitud” en Marruecos.,incredible
TikTok posts,Hawaii wildfire was intentionally set because there’s “120 million tons of lithium in Maui.”,incredible
Donald Trump,"“Florida sort of had a mandate because they were giving the vaccine, they were demanding everybody take the vaccine.”",incredible
Facebook posts,"“Whoopi, Joy and Sunny Threaten To Resign ‘Immediately’ If Candace Owens Joins The Panel.”",incredible
Facebook posts,CNN reported “breaking news” that the Pentagon announced a plan to “implant Americans with nanotech particles.”,incredible
Viral image,Video shows Vice President Kamala Harris discussing how women should “get ahead.”,incredible
Viral image,"“Over 1,000 missing children in Maui.”",incredible
Viral image,“Shocking video shows Biden wearing a skin mask.”,incredible
Instagram posts,A new photo shows Queen Elizabeth II on the day she died.,incredible
Instagram posts,Video shows Hawaiians being evicted after Maui wildfires.,incredible
Facebook posts,Este video muestra una “fábrica de carne” humana “en America”.,incredible
TikTok posts,“Congress say they will start printing 2024 ballot without Trump name in October 2023.”,incredible
Joe Biden,“Ground zero in New York — I remember standing there the next day.”,incredible
Instagram posts,"""Modified mosquitoes have officially made it to Ohio.”",incredible
Instagram posts,Video shows a missile hitting the Pentagon on 9/11.,incredible
Facebook posts,CNN reported that “Barack Obama’s ex-boyfriend admits he was ‘prime suspect’ in gay serial killer case.”,incredible
Facebook posts,A FEMA office in Chicago is proof of a conspiracy.,incredible
Facebook posts,Elon Musk said President Joe Biden “has one month left to live.”,incredible
Viral image,Video shows Pope Francis slapping former President Donald Trump’s hand.,incredible
Instagram posts,Video shows “someone who tried to escape Burning Man.”,incredible
Facebook posts,“CNN just said Cash App went bankrupt and any funds you had in your account would have to be awarded to you through bankruptcy court.”,incredible
Facebook posts,"CNN reported Sept. 7, 2023, that President Joe Biden’s family admitted “he died and was replaced by an actor in 2019.”",incredible
Thom Tillis,"A Democrat-sponsored bill proposes a “1,000% gun tax on most firearms.”",credible
Chris Christie,"Under Gov. Ron DeSantis, “in the last five years, spending has gone up 30%"" in Florida.",credible
LaKeshia Myers,"During the spring 2020 election in Milwaukee, a reduction to only five polling locations “came days before the election and was done without proper notice to voters.”",credible
Instagram posts,Video shows President Joe Biden confirmed “the Lahaina fires were planned.”,incredible
Isabel Brown,Americans “currently are making less than at the height of the Great Depression.”,incredible
Social Media,A video shows Florida Gov. Ron DeSantis dropping out of the 2024 presidential race.,incredible
Facebook posts,“Barack Obama’s late chef’s wife comes out to expose Obama family.”,incredible
Facebook posts,“Joan Rivers’ daughter threatens to expose Michelle Obama.”,incredible
Facebook posts,Video shows Clearwater Beach during Hurricane Idalia.,incredible
Facebook posts,A new Florida law says “a father must submit a DNA test before signing the birth certificates.”,incredible
Instagram posts,“Burning Man was a national emergency because it was flooded.”,incredible
Instagram posts,"“Norway, Finland, Sweden, Holland, and the UK have now banned gender transition surgery for minors.”",incredible
Facebook posts,"The WHO is developing a pandemic treaty that will remove current human rights protections, enforce surveillance and censorship and eliminate freedom of speech.",incredible
Debbie Mucarsel-Powell,Sen. Rick Scott “wants to … end Social Security and Medicare coverage.”,incredible
Roy Cooper,GOP-authored elections bill “requires valid votes to be tossed out … if a computer rejects a signature.”,incredible
Ted Cruz,"""(President Joe) Biden is trying to limit you to two beers per week.”",incredible
Instagram posts,Bill Gates-funded research into genetically engineered cattle ticks is responsible for red-meat allergies from alpha-gal syndrome in the U.S.,incredible
Joe Biden,"U.S. inflation is ""now down close to 3%, the lowest among the world’s leading economies.""",credible
Facebook posts,Photos are evidence of “satanism in public schools.”,incredible
Facebook posts,"""Las naves extraterrestres se camuflan con nubes sobre la nave”.",incredible
Joe Biden,"“According to the Congressional Budget Office,” the Inflation Reduction Act “will save the federal government $160 billion over the next 10 years because Medicare will be paying less for the prescription drugs they’re making available to seniors.”",credible
Travis Tritt,"When elected Georgia governor in 2018, “Brian Kemp was over $7 million in debt.” Kemp “cut a deal” to select Dominion Voting Systems as Georgia’s voting machine vendor and “has never been in debt since.”",incredible
Facebook posts,“We have over a million people right now that are under emergency travel restrictions … and this is due to poison being released into the air.”,incredible
Instagram posts,Canadian Prime Minister Justin Trudeau announced that the government is passing the “Digital Existence Act” in response to the new COVID-19 variant.,incredible
Viral image,Video shows interview with Elon Musk about making “passive income” with “Quantum AI.”,incredible
Viral image,CBS reported on Oprah Winfrey reacting “to getting cancelled for stealing land amid Maui fires.”,incredible
Instagram posts,Fox News chyron called University of North Carolina shooting suspect “mostly white Asian.”,incredible
TikTok posts,“Marines caught FEMA operatives piling corpses into a mass gravesite at the Maui Forest Reserve.”,incredible
Facebook posts,Speaker at World Economic Forum conference proposed adding COVID-19 vaccines to water supply.,incredible
Facebook posts,Video suggests Canada wildfires were deliberately set to advance “smart cities” push.,incredible
Viral image,“CDC says new COVID variant is more contagious among vaccinated people than those unvaccinated.”,incredible
Facebook posts,"President Joe Biden is going to trial for “treason,” “sedition” and “crimes against humanity.”",incredible
Facebook posts,The mothers of Major League Soccer players “file complaint against Leo Messi.”,incredible
Facebook posts,"“Personas poderosas ricas … pintaron los techos” de sus casas de color azul para que no se dañaran durante los incedios forestales en Maui, Hawai.",incredible
Facebook posts,Video shows former first lady Michelle Obama “accidentally reveals what really happened to their chef.”,incredible
Facebook posts,"Video shows the state of “Great Britain now,” with “78,000 people under the water.”",incredible
Facebook posts,"""Surfistas en California aprovechan las fuertes marejadas del Huracán Hilary, para sus prácticas deportivas"".",incredible
Facebook posts,"La Proposición 47 en California dice ""cualquier persona que trate de robar artículos con un valor menos de $950 no serán llevados a la cárcel, ni serán penados por ningún tipo de ley"".",incredible
Viral image,Photo shows someone stealing less than $950 of goods in California.,incredible
Facebook posts,“Shots fired T.L Hanna High School 1 seriously injured.”,incredible
Instagram posts,"Women vaccinated against COVID-19 face ""unknown side effects that could perpetually go down through the lineage"" to their children.",incredible
Facebook posts,Tafari Campbell was “murdered.”,incredible
Mike Pence,"""I actually pushed the Deficit Reduction Act. That was the last time we actually reduced the national debt in the United States, when I was the leader of House conservatives.""",incredible
Facebook posts,El libro “Fire & Fury” “salió un día después del fuego en Hawaii … Esto es más evidencia de que todo fue planificado”.,incredible
